Participant,Scenario,intData_HandoffTime,intData_HandoffMisses,intData_AcceptTime,intData_AcceptMisses,intData_CDT,intData_ConfMisses,intData_FalseAlarms
42,3,2439.75,0,5205.053333,0,14577.05,0,0
42,4,2166.486667,0,2906.575,1,9587.49,0,0
42,5,6851.8,1,2375.745,2,16218.65,0,0
43,1,1916.65,0,3034.566667,1,9575.96,1,0
43,2,1913.4,0,5218.246667,0,21877.4,1,0
43,3,3700.8,0,4147.205,1,19246.65,0,0
43,4,4670.18,0,5343.06,1,18728.9,1,0
43,5,2594.733333,0,3291.35,1,19313,0,0
44,1,1514.7,0,2229.026667,1,10182.8,1,0
44,2,2979.505,0,3909.366667,0,15584.31,0,0
44,3,3720.55,0,6492.676667,0,nan,2,0
44,4,1888.96,0,2961.335,1,13652,1,0
44,5,2018.066667,0,2303.116667,1,nan,2,0
45,1,1861.2,0,2984.623333,1,8528.74,1,0
45,2,1862.96,0,5711.87,0,12074.8,1,0
45,3,5655,0,6655.03,1,17167.6,0,0
45,4,2828.346667,0,2961.605,1,13333.1,1,0
45,5,4583.3,0,4411.276667,1,20041.1,1,0
46,1,2227.05,0,2494.04,1,12581.255,0,0
46,2,3217.93,0,3864.876667,0,18055.9,0,0
46,3,3042.85,0,4066.533333,0,10925.3,1,0
46,4,2007.45,0,3157.12,1,8371.49,1,0
46,5,2167.433333,0,4508.156667,1,14851.3,1,0
47,1,7698.1,1,4277.895,2,13622.6,1,0
47,2,2104.505,0,5341.886667,0,13537.8,1,0
47,3,2559.95,0,2556.8,0,14651.3,1,0
47,4,3372.723333,0,6716.4,1,nan,2,0
47,5,2793.5,1,7476.743333,1,nan,2,0
48,1,1606.6,0,2738.716667,1,10907.82,0,0
48,2,2859.87,0,5021.946667,0,nan,2,0
48,3,4369.55,0,3814.636667,0,14798.4,1,0
48,4,1700.976667,0,3036.97,1,12913.3,1,0
48,5,1656.266667,0,3788.405,2,21326,1,0
49,1,2112.7,1,2633.216667,1,nan,2,0
49,2,3518.45,1,6955.626667,0,19089.4,1,0
49,3,1851.95,0,4292.495,1,23613.2,1,0
49,4,2901.39,0,3202.025,1,16988.7,1,0
49,5,2584.566667,0,3496.923333,1,nan,2,0
50,1,5537,0,2709.606667,1,nan,2,0
50,2,1890.56,0,5011.026667,0,14605.4,1,0
50,3,2609.85,0,4716.425,1,14291.295,0,0
50,4,2124.653333,0,3858.275,1,16267.1,1,0
50,5,4108,1,2746.693333,1,nan,2,0
51,1,3447.35,0,2653.853333,1,8172.16,1,0
51,2,1645.05,1,3826.796667,0,16429.285,0,0
51,3,4494.4,0,2895.185,1,16860.6,0,0
51,4,3305.223333,0,2637.05,1,8396.02,1,0
51,5,2560.933333,0,6439.05,1,13979.2,1,0
52,1,3375.4,0,3081.843333,1,nan,2,1
52,2,2852.735,0,3998.396667,0,16235.715,0,0
52,3,2149.2,0,2559.526667,0,16681.9,1,0
52,4,2440.336667,0,3160.87,1,21850.3,1,0
52,5,2240.866667,0,3168.146667,1,17682,0,0
53,1,2438.55,0,2842.25,1,14781.8,1,0
53,2,4012.855,0,6338.716667,0,19075.6,1,0
53,3,4673.9,0,3303.55,0,17552.05,0,0
53,4,2810.766667,0,3615.58,1,9154.74,1,0
53,5,3941.25,1,3328.79,1,23979.9,1,0
54,1,1966.25,0,2843.65,1,nan,2,1
54,2,2519.52,0,4230.31,0,9156.15,1,0
54,3,1567.3,0,3225.495,1,16956.3,1,0
54,4,3922.156667,0,4702.44,2,12050.005,0,0
54,5,1760.433333,0,4859.22,1,10268.2,1,0
55,1,1650.15,0,2260.22,1,10470.83,0,0
55,2,2058.82,0,4106.926667,0,13022.915,0,0
55,3,3239.9,0,2781.383333,0,13319.525,0,0
55,4,3223.673333,0,2802.415,1,15621.75,0,0
55,5,1989.8,0,3063.016667,1,22457.5,1,0
